=========== Grouping Data =============
---- Parameters: 
epsilon = 10.0
delta   = 3.5
m       = 3
---- Groups: 
"Group {132,159,243,282,287} on [0.00,3.65]"
"Group {121,123,132,282,287} on [0.00,4.01]"
"Group {86,123,132,282,287} on [0.00,5.70]"
"Group {159,243,222,71,81} on [14.56,20.25]"
"Group {34,218,261,278,172} on [13.51,29.78]"
"Group {74,139,232,50,116} on [31.11,45.87]"
"Group {34,281,67,126,212} on [37.99,47.64]"
"Group {218,261,278,172,192} on [59.09,73.95]"
"Group {8,60,180,211,186} on [22.98,34.61]"
"Group {8,60,180,211,123} on [33.79,43.41]"
"Group {44,3,22,213,293} on [16.30,70.21]"
"Group {64,137,3,22,293} on [64.65,75.07]"
"Group {264,157,203,234,76} on [21.38,31.70]"
"Group {115,207,49,136,146} on [27.35,54.14]"
"Group {72,284,185,299,186} on [31.57,80.03]"
"Group {49,72,284,185,299} on [67.02,83.11]"
"Group {115,63,264,43,83} on [76.91,83.72]"
"Group {46,240,4,36,37} on [57.84,72.26]"
"Group {42,54,120,175,277} on [0.00,4.22]"
"Group {39,42,54,120,175} on [0.00,4.90]"
"Group {121,282,287,265,131} on [48.34,60.91]"
"Group {19,121,282,287,265} on [57.75,66.96]"
"Group {55,284,185,299,224} on [103.92,110.32]"
"Group {35,39,54,120,175} on [0.00,13.98]"
"Group {75,202,210,275,279} on [4.78,11.27]"
"Group {53,40,75,279,84} on [10.86,21.16]"
"Group {38,129,181,154,208} on [21.43,29.91]"
"Group {6,155,270,196,91} on [19.37,24.87]"
"Group {6,155,270,91,173} on [23.71,30.16]"
"Group {25,65,112,134,288} on [0.00,3.80]"
"Group {9,140,58,165,229} on [19.97,28.29]"
"Group {140,128,250,25,148} on [30.49,35.33]"
"Group {140,250,128,25,148} on [36.72,40.31]"
"Group {140,117,58,165,229} on [44.28,54.04]"
"Group {176,247,219,149,298} on [23.80,27.59]"
"Group {144,114,162,94,158} on [21.12,32.60]"
"Group {1,144,114,162,158} on [22.36,33.08]"
"Group {114,162,158,130,176} on [33.05,42.25]"
"Group {247,219,149,298,9} on [33.48,41.91]"
"Group {174,260,38,181,208} on [30.82,37.18]"
"Group {154,155,270,174,260} on [35.41,49.82]"
"Group {158,114,162,147,233} on [117.28,136.10]"
"Group {168,285,9,142,206} on [62.97,68.42]"
"Group {196,16,88,103,12} on [38.46,78.38]"
"Group {168,285,181,84,217} on [79.76,90.74]"
"Group {16,88,103,12,178} on [47.37,109.30]"
"Group {142,206,168,285,181} on [140.87,149.00]"
"Group {16,88,103,12,154} on [61.69,129.93]"
"Group {266,16,88,12,154} on [111.28,134.60]"
"Group {17,65,112,134,288} on [0.00,7.23]"
"Group {65,288,21,118,228} on [12.88,37.27]"
"Group {164,205,21,118,228} on [41.68,54.91]"
"Group {281,67,139,232,116} on [43.03,68.20]"
"Group {65,69,281,67,153} on [63.88,83.27]"
"Group {65,69,281,67,256} on [69.72,83.65]"
"Group {50,21,118,228,193} on [77.14,86.69]"
"Group {281,164,205,148,250} on [102.31,109.86]"
"Group {164,205,148,250,67} on [102.65,116.10]"
"Group {148,250,164,205,67} on [128.70,134.72]"
"Group {65,69,256,288,269} on [80.63,84.91]"
"Group {216,65,269,69,192} on [105.58,114.54]"
"Group {192,21,118,228,52} on [121.10,149.00]"
"Group {24,66,78,195,199} on [2.31,15.23]"
"Group {263,123,136,226,19} on [128.95,134.21]"
"Group {4,46,36,37,240} on [82.61,98.22]"
"Group {4,36,37,240,81} on [97.23,102.28]"
"Group {280,80,145,77,98} on [44.28,62.41]"
"Group {80,145,161,262,295} on [63.81,71.40]"
"Group {151,59,221,248,45} on [55.38,70.37]"
"Group {45,172,218,261,278} on [90.31,105.37]"
"Group {190,231,76,51,31} on [95.82,112.42]"
"Group {14,41,156,231,51} on [106.21,119.32]"
"Group {231,51,77,98,106} on [113.89,122.84]"
"Group {51,77,98,106,76} on [114.36,125.37]"
"Group {51,77,98,106,280} on [125.22,131.88]"
"Group {77,98,106,51,280} on [134.76,149.00]"
"Group {14,41,156,190,82} on [115.16,119.59]"
"Group {81,248,101,26,197} on [140.70,144.24]"
"Group {237,14,41,156,190} on [137.10,149.00]"
"Group {144,38,174,10,169} on [81.43,91.82]"
"Group {38,174,10,169,177} on [85.35,97.46]"
"Group {66,78,195,199,24} on [18.12,37.16]"
"Group {66,195,199,171,104} on [39.57,43.08]"
"Group {53,40,202,210,275} on [20.76,40.51]"
"Group {286,104,279,227,283} on [128.42,136.14]"
"Group {7,202,210,275,152} on [30.72,42.43]"
"Group {32,113,238,257,259} on [0.00,54.73]"
"Group {125,32,113,257,259} on [37.60,95.99]"
"Group {75,258,129,7,152} on [37.24,51.32]"
"Group {258,11,153,140,256} on [140.22,147.83]"
"Group {253,75,202,210,275} on [48.59,54.31]"
"Group {173,62,7,105,198} on [123.33,130.26]"
"Group {173,62,235,97,1} on [130.35,136.34]"
"Group {97,152,105,70,7} on [135.30,143.05]"
"Group {130,176,194,290,253} on [135.72,149.00]"
"Group {110,289,15,24,171} on [54.00,65.13]"
"Group {202,210,275,170,184} on [50.83,67.93]"
"Group {239,110,289,15,24} on [62.51,68.69]"
"Group {239,15,202,210,275} on [64.65,72.64]"
"Group {202,210,275,24,75} on [77.27,81.16]"
"Group {214,23,175,42,277} on [48.30,52.08]"
"Group {42,277,90,109,249} on [62.51,72.16]"
"Group {42,277,90,109,171} on [76.10,82.11]"
"Group {277,90,109,110,289} on [78.33,89.06]"
"Group {90,109,110,289,175} on [89.62,94.01]"
"Group {217,144,20,66,195} on [137.33,149.00]"
